supplier	sku	cost_ex_gst	cost_inc_gst
Brilliant Lighting	11640/06	11.3300	12.4600
Brilliant Lighting	11639/13	17.2600	18.9900
Brilliant Lighting	00120/05	11.3300	12.4600
Brilliant Lighting	21889	73.3700	80.7100
Brilliant Lighting	22092	58.2700	64.1000
Brilliant Lighting	22091	58.2700	64.1000
Brilliant Lighting	21887	35.6100	39.1700
Brilliant Lighting	21888	48.5600	53.4200
Brilliant Lighting	21883/05	45.3200	49.8500
Brilliant Lighting	21884/05	36.6900	40.3600
Brilliant Lighting	21882/05	59.3500	65.2900
Brilliant Lighting	22163/06	144.5900	159.0500
Brilliant Lighting	21521	58.2700	64.1000
Brilliant Lighting	20924	64.7400	71.2100
Brilliant Lighting	21322	33.4500	36.8000
Brilliant Lighting	20794	26.9800	29.6800
Brilliant Lighting	21530	26.9800	29.6800
Brilliant Lighting	20967	58.2700	64.1000
Brilliant Lighting	20693/05	48.8800	53.7700
Brilliant Lighting	20759/05	37.4400	41.1800
Brilliant Lighting	20760/05	49.9200	54.9100
Brilliant Lighting	20701/06	56.1600	61.7800
Brilliant Lighting	20702/06	152.8800	168.1700
Brilliant Lighting	21892	14.0300	15.4300
Brilliant Lighting	21893	14.0300	15.4300
Brilliant Lighting	22081	16.1900	17.8100
Brilliant Lighting	21960	16.1900	17.8100
Brilliant Lighting	21957	15.1100	16.6200
Brilliant Lighting	21959	15.1100	16.6200
Brilliant Lighting	21956	15.1100	16.6200
Brilliant Lighting	21958	15.1100	16.6200
Brilliant Lighting	22162/05	49.6300	54.5900
Brilliant Lighting	20717/05	68.6400	75.5000
Brilliant Lighting	22086/05	26.9800	29.6800
Brilliant Lighting	22063/05	155.6300	171.1900
Brilliant Lighting	21518SP004	22.6600	24.9300
Brilliant Lighting	21518SP002	19.4200	21.3600
Brilliant Lighting	21879/05	57.0600	62.7700
Brilliant Lighting	21812/11	129.6900	142.6600
Brilliant Lighting	21518	102.7100	112.9800
Brilliant Lighting	21518SP001	26.9800	29.6800
