sku	name	price	cost
HV9762-IP68-300-3K	HV9762-IP68-300-3K - 9.6W IP68 24v DC 300LED CSP LED Strip - 3000K	58.6960	28.3360
HV9762-IP68-300-4K	HV9762-IP68-300-4K - 9.6W IP68 24v DC 300LED CSP LED Strip - 4000K	58.6960	28.3360
HV9762-IP68-300-5K	HV9762-IP68-300-5K - 9.6W IP68 24v DC 300LED CSP LED Strip - 5000K	58.6960	28.3360
HV9762-IP20-480-3K	HV9762-IP20-480-3K - 14.4w IP20 24v DC 3000K CSP Dotless LED Strip	41.9485	20.2510
HV9762-IP20-480-4K	HV9762-IP20-480-4K - 14.4w IP20 24v DC 4000K CSP Dotless LED Strip	41.9485	20.2510
HV9762-IP20-480-5K	HV9762-IP20-480-5K - 14.4w IP20 24v DC 5500K CSP Dotless LED Strip - 5000K	41.9485	20.2510
HV9762-IP20-480-3K-30M	HV9762-IP20-480-3K - 14.4w IP20 24v DC 3000K CSP Dotless LED Strip 30m Roll	1155.5775	557.8650
HV9762-IP20-480-4K-30M	HV9762-IP20-480-4K - 14.4w IP20 24v DC 4000K CSP Dotless LED Strip 30m Roll	1155.5775	557.8650
HV9762-IP20-480-5K-30M	HV9762-IP20-480-5K - 14.4w IP20 24v DC 5500K CSP Dotless LED Strip 30m Roll - 5000K	1155.5775	557.8650
HV9762-IP54-480	HV9762-IP20-480-3K - 14.4w IP20 24v DC 3000K CSP Dotless LED Strip	48.6475	23.4850
HV9762-IP54-480-4K	HV9762-IP20-480-4K - 14.4w IP20 24v DC 4000K CSP Dotless LED Strip	48.6475	23.4850
HV9762-IP54-480-5K	HV9762-IP20-480-5K - 14.4w IP20 24v DC 5500K CSP Dotless LED Strip - 5000K	48.6475	23.4850
HV9762-IP54-480-3K-10M	HV9762-IP20-480-3K-10M - 14.4w IP20 24v DC 3000K CSP Dotless LED Strip 10m Roll	452.1825	218.2950
HV9762-IP54-480-4K-10M	HV9762-IP20-480-4K-10M - 14.4w IP20 24v DC 4000K CSP Dotless LED Strip 10m Roll	452.1825	218.2950
